"ISO3","Year","Region","country","iso3c","Population","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","TotalTrade","FDIIn","PublicEdExpend","PublicHealthExpend","WomenBusLawIndex","MilitaryExpenditures","CO2Emissions"
"TUR",2019,"Europe & Central Asia","Turkiye","TUR",82579440,75.63,15.594,1.967,6,63.1932903231036,1.25478651517783,4.45403003692627,3.38674355,82.5,2.69365024001119,4.82896105858795
"TKM",2019,"Europe & Central Asia","Turkmenistan","TKM",6158420,52.048,23.055,2.74,6,44.2857594037204,4.09797710355936,3.19200992584229,1.00934052,NA,NA,10.2675361537537
"TCA",2019,"Latin America & Caribbean","Turks and Caicos Islands","TCA",43080,93.36,12.849,1.692,6,NA,2.25165599228338,2.50508999824524,NA,NA,NA,NA
"TUV",2019,"East Asia & Pacific","Tuvalu","TUV",10956,63.215,23.619,3.199,6,NA,0.552188355301927,NA,15.64190578,NA,NA,0.812340270171595
"UGA",2019,"Sub-Saharan Africa","Uganda","UGA",42949080,24.361,37.667,4.809,6,39.3610539647435,3.6030428562421,2.30828070640564,0.57414162,73.125,1.74757281238647,0.138373161893107
"UKR",2019,"Europe & Central Asia","Ukraine","UKR",44386203,69.473,8.1,1.228,6,90.5112342910763,3.76649676088543,5.44129991531372,3.17738771,79.375,3.52015241588676,3.93365253612705
"ARE",2019,"Middle East & North Africa","United Arab Emirates","ARE",9211657,86.789,9.75,1.334,6,167.383564925995,4.27633945790034,3.86020994186401,2.2412796,59.375,NA,20.1533448325312
"GBR",2019,"Europe & Central Asia","United Kingdom","GBR",66836327,83.652,10.7,1.63,5,64.6651336372235,0.694070007703287,5.24871015548706,7.9222517,97.5,1.98132730031255,5.17584247261224
"USA",2019,"North America","United States","USA",328329953,82.459,11.4,1.706,6,26.4519494737854,1.47787452846554,4.98727989196777,8.59579563,91.25,3.43456772038844,14.6733807134556
"URY",2019,"Latin America & Caribbean","Uruguay","URY",3428409,95.426,10.822,1.546,6,49.5573052535871,2.36872631991584,4.64130020141602,6.25397635,88.75,1.88538746667702,1.98538155745128
"UZB",2019,"Europe & Central Asia","Uzbekistan","UZB",33580350,50.433,24.3,2.785,7,72.5183267330503,3.84264818715085,6.29534673690796,2.25870585,67.5,NA,3.50466269708326
"VUT",2019,"East Asia & Pacific","Vanuatu","VUT",304404,25.394,30.4,3.813,6,99.3829688227082,3.96283923161648,1.77407002449036,1.90440345,55.625,NA,0.548284516629216
"VEN",2019,"Latin America & Caribbean","Venezuela, RB","VEN",28971683,88.24,16.888,2.25,6,NA,NA,NA,0.81175309,85,1.79230375763991,3.71059907013341
"VNM",2019,"East Asia & Pacific","Viet Nam","VNM",95776716,36.628,15.663,1.948,6,164.704214531318,4.821074861051,3.08499836921692,2.04478526,81.875,NA,3.56784836932601
"VIR",2019,"Latin America & Caribbean","Virgin Islands (U.S.)","VIR",106669,95.832,12.3,2.05,6,155.399174957535,NA,NA,NA,NA,NA,NA
"PSE",2019,"Middle East & North Africa","West Bank and Gaza","PSE",4685306,76.44,29.466,3.642,6,68.9934922812035,0.769720046510608,NA,NA,26.25,NA,NA
"YEM",2019,"Middle East & North Africa","Yemen, Rep.","YEM",31546691,37.273,31.778,3.963,6,NA,-1.69494383154926,NA,NA,26.875,NA,0.354864476911382
"ZMB",2019,"Sub-Saharan Africa","Zambia","ZMB",18380477,44.072,35.462,4.451,7,68.791204936096,2.35091904331731,4.41824007034302,2.13650107,81.25,1.255654723075,0.414336363523101
"ZWE",2019,"Sub-Saharan Africa","Zimbabwe","ZWE",15354608,32.21,31.518,3.599,6,55.7959609917419,1.14280558495638,NA,0.52207655,86.875,0.729567173018744,0.663338328142275
